word,type,example,also
aber,nebenordnend,"Ich arbeite gern, aber mein Job ist langweilig.","Adverb,"
allein,nebenordnend,"Die Botschaft hör’ ich wohl, allein mir fehlt der Glaube allein.",","
allerdings,Konjunktionaladverbien,"Ich möchte ins Kino, allerdings habe ich keine Zeit.","Adverb,"
als,unterordnend,"Es war warm in Paris, als wir letztens dort waren.",
also,Konjunktionaladverbien,"Jonas möchte zu Hause arbeiten, also braucht er seine Ruhe.","Adverb,"
andererseits,Konjunktionaladverbien,"Ihr Sohn kränkte sie, andererseits machte er sie auch stolz.",Adverb
anschließend,Konjunktionaladverbien,"Erst räumen wir auf, anschließend gehen wir an den Strand.",Adverb
"ansonsten, ansonst",Konjunktionaladverbien,"Es gab ein paar Fehler, ansonsten, ansonst ist aber alles in Ordnung.",Adverb
anstatt,unterordnend,"Tom machte einen Ausflug, anstatt ein Gespräch mit Dirk anstatt führen.",
auch,Konjunktionaladverbien,"Die Schüler schwiegen, auch der Lehrer machte kein Geräusch.",
(auch) wenn,unterordnend,"Ich helfe beim Aufbau, (auch) wenn ihr mich nicht bezahlen könnt.",
ausgenommen,nebenordnend,"Ich widerspreche allen, ausgenommen meiner Frau.",
außer,nebenordnend,"Mit deinem Lotterleben ist Schluss, außer du verbesserst deine Leistungen in der Schule.",Präposition
außerdem,Konjunktionaladverbien,"Ich kann gut Gitarre spielen, außerdem kann ich Noten lesen.",Adverb
bevor,unterordnend,"Ich möchte das Meer sehen, bevor ich sterbe.",
beziehungsweise,Konjunktionaladverbien,Ich war mit Sabine bekannt beziehungsweise befreundet,
bis,unterordnend,"Sie wartete, bis alle Gäste im Bett waren.","Adverb,"
bloß,Konjunktionaladverbien,"Ich laufe gern durch Rom, bloß meine Schuhe sind zu eng.","Adjektiv,"
da,unterordnend,"Ich möchte dieses Buch lesen, da ich die Autorin seit vielen Jahren mag.",Adverb
dabei,Konjunktionaladverbien,"Das Geschirr ist zerbrochen, dabei war es so sorgfältig verpackt.",Adverb
dadurch,Konjunktionaladverbien,"Tim soll langsam fahren, dadurch spart er Benzin.",Adverb
dafür,Konjunktionaladverbien,"Rbekka will den Sonnenaufgang sehen, dafür ist sie heute besonders früh aufgestanden.",Adverb
dagegen,Konjunktionaladverbien,"Mein Vater hat keine Kondition, dagegen bin ja sogar ich richtig sportlich.",Adverb
damit,unterordnend,"Er damit das Wort, damit es alle verstanden.",Adverb
danach,Konjunktionaladverbien,"Voran liefen die Eltern, danach kamen die Kinder",Adverb
dann,Konjunktionaladverbien,"Mach den Abwasch, dann können wir über deinen Geburtstag reden.",Adverb
darauf,Konjunktionaladverbien,"Am Ende der Straße ist das Haus, darauf müsst ihr zugehen",Adverb
darum,Konjunktionaladverbien,"Das Fahrrad hatte einige Mängel, darum hat Greta es nicht gekauft.",Adverb
dass,unterordnend,"Tom hat sich gefreut, dass du ihm geschrieben hast.",
davor,Konjunktionaladverbien,"Das Konzert beginnt um 20 Uhr, davor spielen noch zwei Vorbands.",Adverb
dazu,Konjunktionaladverbien,"Das stimmt so, dazu gibt es nichts hinzuzufügen.",Adverb
denn,nebenordnend,"Hannes muss sich beeilen, denn der Zug kommt gleich.","Adverb,"
deshalb,Konjunktionaladverbien,"Ich habe morgens ein Vorstellungsgespräch, deshalb gehe ich früh ins Bett.",Adverb
deswegen,Konjunktionaladverbien,"Ich möchte Hans sehen, deswegen bin ich hier.",
doch,nebenordnend,"Die Sonne scheint, doch wir bleiben heute zu Hause","Adverb,"
ebenso,Konjunktionaladverbien,"Ich liebe Mais, ebenso mag ich Reis.",
ehe,unterordnend,"Es vergingen vier Stunden, ehe wir landen konnten",
falls,unterordnend,"Magda kommt ins Theater, falls sie die Bahn schafft.",
ferner,Konjunktionaladverbien,"Wir brauchen einen Hammer und einen Bohrer, ferner brauchen wir einige Dübel, Schrauben und Nägel.",Adverb
folglich,Konjunktionaladverbien,"Ich war nicht in der Stadt, folglich habe ich von dem Unglück erst später erfahren.",Adverb
genauso,Konjunktionaladverbien,"Konjunktionaladverbien verbinden zwei Einheiten, genauso wie die „richtigen“ Konjunktionen.",Adverb
geschweige,nebenordnend,"Sie haben nicht einmal Geld für einen Anzug, geschweige denn für ein Auto.",
gleichwie,unterordnend,"Hans sparte sein ganze Geld, gleichwie er es von zu Hause gewohnt war.",
immerhin,Konjunktionaladverbien,"Der Job hat keinen Spaß gemacht, immerhin war er gut bezahlt.",Adverb
indem,unterordnend,"Peter bedankte sich, indem er eine Karte schickte.",Adverb
"indes,",unterordnend,"Kirsten las ein Buch, indes, Rebekka einen Film schaute.",Adverb
insofern,unterordnend,"Die Idee ist gut, insofern sie keinem schadet.",Adverb
insoweit,unterordnend,"Wir greifen ein, insoweit das alles alles richtig ist.",Adverb
insoweit als,#fcecb1,,
inzwischen,Konjunktionaladverbien,"Die Klausur ist in erst 3 Monaten, inzwischen bereitet Joshua schon darauf vor.",Adverb
je nachdem,#fcecb1,"Die Buch ist ein Thriller und ein Liebesroman, je nachdem wer es liest.",
jedennoch,Konjunktionaladverbien,"Viele Jahre habe ich dein Verhalten ertragen, jedennoch ist damit jetzt Schluss.",
jedoch,nebenordnend,"Er bewarb sich immer wieder, jedoch die Arbeitgeber wollten ihn nicht.",Adverb
jedoch,Konjunktionaladverbien,"Er bewarb sich immer wieder, jedoch wollten ihn die Arbeitgeber nicht.",Adverb
kaum,Konjunktionaladverbien,"Hannah wurde schwarz vor Augen, kaum sie Brad Pitt gesehen hatte.",Adverb
minus,nebenordnend,Zehn minus drei ist sieben.,"Adverb,"
